user_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_segment,segment_name
380,220,3,198.35,4,3,4,434,Потенциальные лоялисты
2673,371,4,198.43,2,3,4,234,Обычные клиенты
370,372,5,198.47,2,5,4,254,Нельзя потерять
2260,151,7,198.54,4,5,4,454,Лояльные клиенты
4914,427,4,198.76,1,4,4,144,Нельзя потерять
255,436,4,198.78,1,4,4,144,Нельзя потерять
3587,258,4,198.98,3,3,4,334,Обычные клиенты
3132,123,5,199.06,5,5,4,554,Лояльные клиенты
163,390,4,199.07,1,4,4,144,Нельзя потерять
159,277,3,199.19,3,3,4,334,Обычные клиенты
4806,88,3,199.3,5,3,4,534,Потенциальные лоялисты
4115,216,5,199.46,4,5,4,454,Лояльные клиенты
3711,32,4,199.55,5,3,4,534,Потенциальные лоялисты
4123,290,7,199.56,3,5,4,354,Обычные клиенты
2691,395,3,199.78,1,3,4,134,Обычные клиенты
4014,98,4,199.99,5,4,4,544,Лояльные клиенты
1632,279,3,200.02,3,3,4,334,Обычные клиенты
4108,99,4,200.13,5,4,4,544,Лояльные клиенты
3534,238,5,200.36,3,5,4,354,Обычные клиенты
4504,119,7,200.38,5,5,4,554,Лояльные клиенты
1717,91,4,200.73,5,4,4,544,Лояльные клиенты
1475,336,5,200.75,2,5,4,254,Нельзя потерять
1528,386,3,200.86,1,3,4,134,Обычные клиенты
1789,326,6,200.94,2,5,4,254,Нельзя потерять
4386,253,4,200.98,3,3,4,334,Обычные клиенты
4883,387,6,201.06,1,5,4,154,Нельзя потерять
4796,236,4,201.32,3,3,4,334,Обычные клиенты
2096,318,2,201.52,2,2,4,224,Засыпающие
2367,310,3,202.13,2,2,4,224,Засыпающие
1837,62,3,202.16,5,3,4,534,Потенциальные лоялисты
1171,288,4,202.26,3,4,4,344,Обычные клиенты
1914,260,4,202.28,3,3,4,334,Обычные клиенты
4977,243,2,202.28,3,1,4,314,Засыпающие
4026,45,5,202.49,5,5,4,554,Лояльные клиенты
1174,202,5,202.58,4,4,4,444,Лояльные клиенты
2385,72,4,202.6,5,4,4,544,Лояльные клиенты
2848,467,2,202.69,1,2,4,124,Обычные клиенты
4573,434,5,202.76,1,5,4,154,Нельзя потерять
3351,196,4,202.77,4,4,4,444,Лояльные клиенты
3489,177,2,202.97,4,2,4,424,Потенциальные лоялисты
594,65,6,203.1,5,5,4,554,Лояльные клиенты
2712,358,4,203.49,2,3,4,234,Обычные клиенты
2646,384,3,203.5,1,3,4,134,Обычные клиенты
649,380,3,203.52,1,3,4,134,Обычные клиенты
4276,285,4,203.55,3,4,4,344,Обычные клиенты
1242,161,4,203.58,4,4,4,444,Лояльные клиенты
